"standardTime","timezone","airportType","airportName","temperature","percentageOfClouds","windSpeed","windDirection","precipitations","snowMeasurement","description","delay"
"2025-05-11T12:25:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","14"
"2025-05-11T12:25:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","14"
"2025-05-11T12:05:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","32"
"2025-05-11T12:05:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","32"
"2025-05-11T15:45:00+00:00","Europe/Madrid","Departure","MAD","17.3799991607666","40","6.690000057220459","280.0","0.0","0.0","scattered clouds","33"
"2025-05-11T11:45:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","21"
"2025-05-11T11:45:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","21"
"2025-05-11T11:45:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","21"
"2025-05-11T11:45:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","21"
"2025-05-11T09:00:00+00:00","Europe/Madrid","Departure","MAD","12.829999923706055","20","4.019999980926514","243.0","0.0","0.0","few clouds","30"
"2025-05-11T09:00:00+00:00","Europe/Madrid","Departure","MAD","12.829999923706055","20","4.019999980926514","243.0","0.0","0.0","few clouds","24"
"2025-05-11T08:45:00+00:00","Europe/Madrid","Departure","MAD","12.829999923706055","20","4.019999980926514","243.0","0.0","0.0","few clouds","21"
"2025-05-11T11:40:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","29"
"2025-05-11T07:40:00+00:00","Europe/Madrid","Departure","MAD","11.25","20","2.569999933242798","220.0","0.0","0.0","few clouds","20"
"2025-05-11T11:30:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","24"
"2025-05-11T16:00:00+00:00","Europe/Madrid","Departure","MAD","17.3799991607666","40","6.690000057220459","280.0","0.0","0.0","scattered clouds","26"
"2025-05-11T16:00:00+00:00","Europe/Madrid","Departure","MAD","17.3799991607666","40","6.690000057220459","280.0","0.0","0.0","scattered clouds","26"
"2025-05-11T16:00:00+00:00","Europe/Madrid","Departure","MAD","17.3799991607666","40","6.690000057220459","280.0","0.0","0.0","scattered clouds","26"
"2025-05-11T16:00:00+00:00","Europe/Madrid","Departure","MAD","17.3799991607666","40","6.690000057220459","280.0","0.0","0.0","scattered clouds","26"
"2025-05-11T11:45:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","21"
"2025-05-11T11:40:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","29"
"2025-05-11T16:00:00+00:00","Europe/Madrid","Departure","MAD","17.3799991607666","40","6.690000057220459","280.0","0.0","0.0","scattered clouds","26"
"2025-05-11T12:05:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","32"
"2025-05-11T14:10:00+00:00","Europe/Madrid","Departure","MAD","17.540000915527344","40","5.139999866485596","250.0","0.0","0.0","scattered clouds","43"
"2025-05-11T14:55:00+00:00","Europe/Madrid","Departure","MAD","17.639999389648438","40","6.170000076293945","260.0","0.0","0.0","scattered clouds","37"
"2025-05-11T15:45:00+00:00","Europe/Madrid","Departure","MAD","17.3799991607666","40","6.690000057220459","280.0","0.0","0.0","scattered clouds","23"
"2025-05-11T15:45:00+00:00","Europe/Madrid","Departure","MAD","17.3799991607666","40","6.690000057220459","280.0","0.0","0.0","scattered clouds","23"
"2025-05-11T15:45:00+00:00","Europe/Madrid","Departure","MAD","17.3799991607666","40","6.690000057220459","280.0","0.0","0.0","scattered clouds","23"
"2025-05-11T15:45:00+00:00","Europe/Madrid","Departure","MAD","17.3799991607666","40","6.690000057220459","280.0","0.0","0.0","scattered clouds","23"
"2025-05-11T11:30:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","24"
"2025-05-11T11:30:00+00:00","Europe/Madrid","Departure","MAD","16.139999389648438","40","4.119999885559082","250.0","0.0","0.0","scattered clouds","24"
